experiment	id	split	query	expectedDomain	relevantSections	rank	source	section	domain	chunkIndex	score
mxbai-embed-large/原始语料	A01	acceptance	线程池打满	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:7]	1	thread-pool-exhaustion.md	2. 典型异常现象	thread-pool	1	0.4667253613524464
mxbai-embed-large/原始语料	A01	acceptance	线程池打满	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:7]	2	mysql-slow-query.md	6. 判断原则	mysql	5	0.4570385353874726
mxbai-embed-large/原始语料	A01	acceptance	线程池打满	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:7]	3	mysql-slow-query.md	7. 处理原则	mysql	6	0.4554669098695194
mxbai-embed-large/原始语料	A01	acceptance	线程池打满	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:7]	4	thread-pool-exhaustion.md	3. 常见原因	thread-pool	2	0.45497764512829936
mxbai-embed-large/原始语料	A01	acceptance	线程池打满	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:7]	5	thread-pool-exhaustion.md	7. 处理原则	thread-pool	6	0.4428726796616154
mxbai-embed-large/原始语料	A01	acceptance	线程池打满	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:7]	6	mysql-slow-query.md	2. 数据库连接池异常	mysql	1	0.44252366461212583
mxbai-embed-large/原始语料	A01	acceptance	线程池打满	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:7]	7	mysql-slow-query.md	5. 推荐排查顺序	mysql	4	0.43675373306136545
mxbai-embed-large/原始语料	A01	acceptance	线程池打满	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:7]	8	mysql-slow-query.md	3. 常见慢查询原因	mysql	2	0.434231362847253
mxbai-embed-large/原始语料	A01	acceptance	线程池打满	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:7]	9	mysql-slow-query.md	4. 对 Java 服务的影响	mysql	3	0.4308605363708592
mxbai-embed-large/原始语料	A01	acceptance	线程池打满	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:7]	10	thread-pool-exhaustion.md	6. 判断原则	thread-pool	5	0.4282091430363332
mxbai-embed-large/原始语料	A01	acceptance	线程池打满	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:7]	11	thread-pool-exhaustion.md	1. 线程池饱和是什么	thread-pool	0	0.42802217173708507
mxbai-embed-large/原始语料	A01	acceptance	线程池打满	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:7]	12	thread-pool-exhaustion.md	4. 推荐排查顺序	thread-pool	3	0.42729224047935743
mxbai-embed-large/原始语料	A01	acceptance	线程池打满	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:7]	13	thread-pool-exhaustion.md	5. 与 Kafka 消费的关系	thread-pool	4	0.4189896237247958
mxbai-embed-large/原始语料	A01	acceptance	线程池打满	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:7]	14	mysql-slow-query.md	1. 数据库变慢是什么	mysql	0	0.4154966794694499
mxbai-embed-large/原始语料	A01	acceptance	线程池打满	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:7]	15	kafka-consumer-lag.md	6. 判断原则	kafka	5	0.3904702351197966
mxbai-embed-large/原始语料	A01	acceptance	线程池打满	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:7]	16	kafka-consumer-lag.md	2. 如何判断真正存在消费积压	kafka	1	0.37721930810155696
mxbai-embed-large/原始语料	A01	acceptance	线程池打满	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:7]	17	kafka-consumer-lag.md	3. 常见原因	kafka	2	0.3761023955528278
mxbai-embed-large/原始语料	A01	acceptance	线程池打满	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:7]	18	kafka-consumer-lag.md	5. 推荐排查顺序	kafka	4	0.3739952929617392
mxbai-embed-large/原始语料	A01	acceptance	线程池打满	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:7]	19	kafka-consumer-lag.md	7. 处理原则	kafka	6	0.3697850593988595
